Run,Sample.Name,Subline,Treatment,BioProject,BioSample,Center.Name,Experiment,Cell.Line,Organism,SRA.Study
SRR3576741,PMC42ET_Ctrl_Rep2,PMC42-ET,control,PRJNA322427,SAMN05162542,Queensland University of Technology,SRX1795039,PMC42-ET,Homo sapiens,SRP075592
SRR3576742,PMC42ET_Ctrl_Rep3,PMC42-ET,control,PRJNA322427,SAMN05162543,Queensland University of Technology,SRX1795040,PMC42-ET,Homo sapiens,SRP075592
SRR3576746,PMC42LA_Ctrl_Rep1,PMC42-LA,control,PRJNA322427,SAMN05162547,Queensland University of Technology,SRX1795044,PMC42-LA,Homo sapiens,SRP075592
SRR3576747,PMC42LA_Ctrl_Rep2,PMC42-LA,control,PRJNA322427,SAMN05162548,Queensland University of Technology,SRX1795045,PMC42-LA,Homo sapiens,SRP075592
SRR3576748,PMC42LA_Ctrl_Rep3,PMC42-LA,control,PRJNA322427,SAMN05162549,Queensland University of Technology,SRX1795046,PMC42-LA,Homo sapiens,SRP075592
SRR3576759,PMC42ET_Ctrl_Rep1,PMC42-ET,control,PRJNA322427,SAMN05162541,Queensland University of Technology,SRX1795057,PMC42-ET,Homo sapiens,SRP075592
SRR3576771,PMC42ET_Ctrl_Rep2,PMC42-ET,control,PRJNA322427,SAMN05162542,Queensland University of Technology,SRX1795067,PMC42-ET,Homo sapiens,SRP075592
SRR3576772,PMC42ET_Ctrl_Rep3,PMC42-ET,control,PRJNA322427,SAMN05162543,Queensland University of Technology,SRX1795068,PMC42-ET,Homo sapiens,SRP075592
SRR3576777,PMC42LA_Ctrl_Rep1,PMC42-LA,control,PRJNA322427,SAMN05162547,Queensland University of Technology,SRX1795072,PMC42-LA,Homo sapiens,SRP075592
SRR3576779,PMC42LA_Ctrl_Rep2,PMC42-LA,control,PRJNA322427,SAMN05162548,Queensland University of Technology,SRX1795073,PMC42-LA,Homo sapiens,SRP075592
SRR3576781,PMC42LA_Ctrl_Rep3,PMC42-LA,control,PRJNA322427,SAMN05162549,Queensland University of Technology,SRX1795074,PMC42-LA,Homo sapiens,SRP075592
SRR3576795,PMC42ET_Ctrl_Rep1,PMC42-ET,control,PRJNA322427,SAMN05162541,Queensland University of Technology,SRX1795087,PMC42-ET,Homo sapiens,SRP075592
SRR3591407,PMC42ET_Ctrl_Rep2,PMC42-ET,control,PRJNA322427,SAMN05162542,Queensland University of Technology,SRX1802011,PMC42-ET,Homo sapiens,SRP075592
SRR3591408,PMC42ET_Ctrl_Rep3,PMC42-ET,control,PRJNA322427,SAMN05162543,Queensland University of Technology,SRX1802012,PMC42-ET,Homo sapiens,SRP075592
SRR3591412,PMC42LA_Ctrl_Rep1,PMC42-LA,control,PRJNA322427,SAMN05162547,Queensland University of Technology,SRX1802016,PMC42-LA,Homo sapiens,SRP075592
SRR3591413,PMC42LA_Ctrl_Rep2,PMC42-LA,control,PRJNA322427,SAMN05162548,Queensland University of Technology,SRX1802017,PMC42-LA,Homo sapiens,SRP075592
SRR3591414,PMC42LA_Ctrl_Rep3,PMC42-LA,control,PRJNA322427,SAMN05162549,Queensland University of Technology,SRX1802018,PMC42-LA,Homo sapiens,SRP075592
SRR3591425,PMC42ET_Ctrl_Rep1,PMC42-ET,control,PRJNA322427,SAMN05162541,Queensland University of Technology,SRX1802029,PMC42-ET,Homo sapiens,SRP075592
